,patients,selected,metric,metric_ct,metric_pheno,rrms_to_nindc,selected_to_cohort,ct_evaluation,ct_evaluation_highlights
nk_reg_uncertainty_v3_filter-9,44,281,0.519,0.587,0.884,2.306,0.36,mtl_nk_reg_uncertainty_v3_filter-9;nk;0.473,mtl_nk_reg_uncertainty_v3_filter-9;nk;0.473
nk_reg_uncertainty_v3_filter-10,28,44,0.163,0.454,0.359,13.667,0.056,,
nk_reg_uncertainty_v3_filter-11,34,111,0.438,0.595,0.736,3.826,0.142,,
nk_reg_uncertainty_v3_filter-12,57,716,0.547,0.587,0.932,1.876,0.918,,
nk_reg_uncertainty_v3_filter-13,41,99,0.51,0.668,0.764,3.5,0.127,,
nk_reg_uncertainty_v3_filter-14,53,284,0.54,0.583,0.926,1.928,0.364,,
nk_reg_uncertainty_v3_filter-15,52,386,0.496,0.547,0.906,2.113,0.495,,
nk_reg_uncertainty_v3_filter-16,52,429,0.264,0.279,0.946,1.75,0.55,mtl_nk_reg_uncertainty_v3_filter-16;cd4;0.89,
nk_reg_uncertainty_v3_filter-17,36,107,0.373,0.571,0.654,4.944,0.137,,
nk_reg_uncertainty_v3_filter-19,38,145,0.466,0.585,0.797,3.143,0.186,,
nk_reg_uncertainty_v3_filter-20,32,80,0.266,0.489,0.544,7.0,0.103,,
dg_reg_uncertainty_v3_filter-2,49,146,0.526,0.62,0.847,2.65,0.493,,
dg_reg_uncertainty_v3_filter-3,29,49,0.214,0.525,0.408,11.25,0.166,,
dg_reg_uncertainty_v3_filter-4,51,458,0.371,0.387,0.96,1.617,1.547,mtl_dg_reg_uncertainty_v3_filter-4;dg;0.552,mtl_dg_reg_uncertainty_v3_filter-4;dg;0.552
dg_reg_uncertainty_v3_filter-5,41,144,0.477,0.548,0.871,2.429,0.486,,
dg_reg_uncertainty_v3_filter-6,38,116,0.452,0.646,0.701,4.273,0.392,,
dg_reg_uncertainty_v3_filter-7,56,813,0.468,0.504,0.929,1.904,2.747,,
dg_reg_uncertainty_v3_filter-8,19,32,0.135,0.399,0.337,15.0,0.108,,
dg_reg_uncertainty_v3_filter-9,55,769,0.633,0.655,0.967,1.546,2.598,,
dg_reg_uncertainty_v3_filter-11,58,845,0.669,0.718,0.931,1.884,2.855,,
dg_reg_uncertainty_v3_filter-12,32,80,0.364,0.568,0.64,5.154,0.27,,
dg_reg_uncertainty_v3_filter-13,40,114,0.235,0.373,0.629,5.333,0.385,,
dg_reg_uncertainty_v3_filter-14,50,274,0.655,0.768,0.852,2.605,0.926,,
dg_reg_uncertainty_v3_filter-15,52,306,0.554,0.647,0.857,2.558,1.034,,
dg_reg_uncertainty_v3_filter-16,21,38,0.27,0.557,0.485,8.5,0.128,,
dg_reg_uncertainty_v3_filter-17,28,48,0.345,0.716,0.482,8.6,0.162,,
dg_reg_uncertainty_v3_filter-18,45,194,0.507,0.635,0.799,3.128,0.655,,
dg_reg_uncertainty_v3_filter-19,25,33,0.239,0.321,0.746,3.714,0.111,,
dg_reg_uncertainty_v3_filter-22,21,30,0.127,0.359,0.353,14.0,0.101,,
dg_reg_uncertainty_v3_filter-23,30,77,0.286,0.594,0.481,8.625,0.26,,
dg_reg_uncertainty_v3_filter-24,23,53,0.086,0.637,0.135,52.0,0.179,mtl_dg_reg_uncertainty_v3_filter-24;dg;0.434,mtl_dg_reg_uncertainty_v3_filter-24;dg;0.434
dg_reg_uncertainty_v3_filter-25,33,70,0.226,0.608,0.371,13.0,0.236,,
cd4_reg_uncertainty_v3_filter-0,30,69,0.263,0.441,0.597,5.9,0.008,,
cd4_reg_uncertainty_v3_filter-2,45,167,0.415,0.569,0.729,3.912,0.019,,
cd4_reg_uncertainty_v3_filter-3,50,386,0.662,0.716,0.924,1.947,0.044,,
cd4_reg_uncertainty_v3_filter-4,56,2064,0.226,0.23,0.985,1.34,0.234,mtl_cd4_reg_uncertainty_v3_filter-4;cd4;0.909,
cd4_reg_uncertainty_v3_filter-5,59,4517,0.114,0.114,0.999,1.054,0.513,mtl_cd4_reg_uncertainty_v3_filter-5;cd4;0.981,mtl_cd4_reg_uncertainty_v3_filter-5;cd4;0.981
cd4_reg_uncertainty_v3_filter-7,30,76,0.241,0.429,0.562,6.6,0.009,,
cd4_reg_uncertainty_v3_filter-8,36,108,0.353,0.635,0.556,6.714,0.012,,
cd4_reg_uncertainty_v3_filter-9,36,161,0.22,0.221,0.994,0.83,0.018,mtl_cd4_reg_uncertainty_v3_filter-9;cd4;0.969,
cd4_reg_uncertainty_v3_filter-10,52,477,0.522,0.573,0.91,2.077,0.054,,
cd4_reg_uncertainty_v3_filter-11,58,1863,0.191,0.191,0.999,1.065,0.212,mtl_cd4_reg_uncertainty_v3_filter-11;cd4;0.961,
cd4_reg_uncertainty_v3_filter-13,37,83,0.256,0.391,0.655,4.929,0.009,,
cd4_reg_uncertainty_v3_filter-15,32,99,0.436,0.457,0.953,1.676,0.011,,
cd4_reg_uncertainty_v3_filter-16,41,353,0.319,0.32,0.996,1.152,0.04,,
cd4_reg_uncertainty_v3_filter-17,55,360,0.651,0.728,0.894,2.214,0.041,,
cd4_reg_uncertainty_v3_filter-20,45,165,0.225,0.323,0.697,4.323,0.019,,
cd4_reg_uncertainty_v3_filter-21,45,485,0.23,0.231,0.998,1.118,0.055,mtl_cd4_reg_uncertainty_v3_filter-21;cd4;0.948,
cd4_reg_uncertainty_v3_filter-23,34,169,0.247,0.253,0.976,0.69,0.019,mtl_cd4_reg_uncertainty_v3_filter-23;cd4;0.929,
cd4_reg_uncertainty_v3_filter-24,54,1237,0.206,0.207,0.995,0.849,0.141,mtl_cd4_reg_uncertainty_v3_filter-24;cd4;0.957,
cd4_reg_uncertainty_v3_filter-25,29,54,0.186,0.599,0.31,17.0,0.006,,
cd4_reg_uncertainty_v3_filter-26,33,95,0.313,0.4,0.781,3.318,0.011,,
cd4_reg_uncertainty_v3_filter-27,43,420,0.268,0.271,0.988,0.772,0.048,mtl_cd4_reg_uncertainty_v3_filter-27;cd4;0.9,
cd8_reg_uncertainty_v3_filter-1,32,73,0.249,0.407,0.612,5.636,0.018,,
cd8_reg_uncertainty_v3_filter-3,41,95,0.413,0.517,0.799,3.13,0.024,,
cd8_reg_uncertainty_v3_filter-4,53,378,0.567,0.662,0.856,2.566,0.095,,
cd8_reg_uncertainty_v3_filter-5,55,423,0.434,0.493,0.882,2.331,0.107,,
cd8_reg_uncertainty_v3_filter-6,60,2429,0.55,0.568,0.97,1.512,0.612,,
